Time,CAN_interest,CHI_interest,CHN_interest,Euro area (19 countries),UK_interest,US_interest
01-09-2009,0.2417,0.45,2.79,0.3632,0.4302,0.15
01-10-2009,0.2403,0.41,2.79,0.3587,0.4472,0.12
01-11-2009,0.2435,0.43,2.79,0.3624,0.4509,0.12
01-12-2009,0.2455,0.45,2.79,0.3546,0.4492,0.12
01-01-2010,0.2442,0.43,2.79,0.344,0.4545,0.11
01-02-2010,0.2476,0.42,2.79,0.3406,0.4672,0.13
01-03-2010,0.2443,0.43,2.79,0.3477,0.4713,0.16
01-04-2010,0.248,0.43,2.79,0.3533,0.4726,0.2
01-05-2010,0.2437,0.43,2.79,0.3439,0.4842,0.2
01-06-2010,0.4928,0.68,2.79,0.3543,0.487,0.18
01-07-2010,0.74,1.23,2.79,0.4811,0.49,0.18
01-08-2010,0.7481,1.81,2.79,0.4256,0.491,0.19
01-09-2010,0.9976,2.24,2.79,0.4536,0.501,0.19
01-10-2010,0.9969,2.7,2.79,0.7013,0.5083,0.19
01-11-2010,0.9997,2.89,2.79,0.5926,0.5086,0.19
01-12-2010,0.9924,3.13,3.25,0.4981,0.5173,0.18
01-01-2011,0.9937,3.25,3.25,0.659,0.5059,0.17
01-02-2011,0.9934,3.33,3.25,0.7071,0.5084,0.16
01-03-2011,0.9944,3.73,3.25,0.6587,0.5154,0.14
01-04-2011,0.997,4.3,3.25,0.9661,0.524,0.1
01-05-2011,0.9967,4.79,3.25,1.0334,0.5217,0.09
01-06-2011,0.9981,5.12,3.25,1.124,0.5311,0.09
01-07-2011,0.9986,5.24,3.25,1.0118,0.5228,0.07
01-08-2011,0.9977,5.26,3.25,0.9058,0.538,0.1
01-09-2011,0.9989,5.24,3.25,1.0055,0.5486,0.08
01-10-2011,0.9993,5.25,3.25,0.9596,0.5358,0.07
01-11-2011,0.9983,5.25,3.25,0.79,0.5347,0.08
01-12-2011,0.9998,5.23,3.25,0.627,0.5201,0.07
01-01-2012,0.9987,5.05,3.25,0.38,0.5157,0.08
01-02-2012,0.9978,4.98,3.25,0.3656,0.4993,0.1
01-03-2012,0.998,5.0,3.25,0.3567,0.49,0.13
01-04-2012,1.0079,5.0,3.25,0.3451,0.4861,0.14
01-05-2012,1.0,5.02,3.25,0.337,0.4848,0.16
01-06-2012,0.9984,5.02,3.25,0.332,0.4859,0.16
01-07-2012,0.9974,4.99,3.25,0.1842,0.4646,0.16
01-08-2012,0.999,4.97,3.25,0.1101,0.45,0.13
01-09-2012,0.9991,5.02,3.25,0.0993,0.4271,0.14
01-10-2012,1.0024,5.02,3.25,0.0907,0.4334,0.16
01-11-2012,0.9985,5.01,3.25,0.0785,0.4256,0.16
01-12-2012,0.9982,4.99,3.25,0.0734,0.4309,0.16
01-01-2013,1.0048,5.0,3.25,0.069,0.4097,0.14
01-02-2013,1.0072,5.01,3.25,0.0677,0.4261,0.15
01-03-2013,1.0065,5.0,3.25,0.067,0.4353,0.14
01-04-2013,1.0036,5.0,3.25,0.081,0.4396,0.15
01-05-2013,1.0063,5.02,3.25,0.0787,0.4336,0.11
01-06-2013,1.0067,5.0,3.25,0.0862,0.4252,0.09
01-07-2013,0.9998,5.03,3.25,0.0931,0.4301,0.09
01-08-2013,0.9978,5.0,3.25,0.082,0.427,0.08
01-09-2013,0.9948,5.0,3.25,0.0803,0.4299,0.08
01-10-2013,0.9994,4.9,3.25,0.0933,0.4313,0.09
01-11-2013,0.9997,4.65,3.25,0.1031,0.43,0.08
01-12-2013,1.0012,4.5,3.25,0.1686,0.4215,0.09
01-01-2014,0.9993,4.49,3.25,0.1961,0.4287,0.07
01-02-2014,0.9945,4.4,3.25,0.1567,0.4197,0.07
01-03-2014,0.998,4.11,3.25,0.1919,0.4159,0.08
01-04-2014,0.9978,4.0,3.25,0.2539,0.422,0.09
01-05-2014,0.9978,4.0,3.25,0.248,0.4233,0.09
01-06-2014,0.9988,4.0,3.25,0.0758,0.4251,0.1
01-07-2014,0.999,3.88,3.25,0.0433,0.4283,0.09
01-08-2014,0.9976,3.63,3.25,0.0179,0.4228,0.09
01-09-2014,0.9979,3.35,3.25,0.0066,0.4319,0.09
01-10-2014,1.0024,3.15,3.25,-0.0045,0.4308,0.09
01-11-2014,1.0,3.01,3.25,-0.0116,0.4325,0.09
01-12-2014,1.0114,3.0,3.25,-0.0301,0.428,0.12
01-01-2015,0.7502,3.0,3.25,-0.0506,0.4355,0.11
01-02-2015,0.7595,3.0,3.25,-0.036,0.4511,0.11
01-03-2015,0.7558,3.0,3.25,-0.0504,0.4568,0.11
01-04-2015,0.7473,3.0,3.25,-0.0745,0.4574,0.12
01-05-2015,0.727,3.0,3.25,-0.1058,0.462,0.12
01-06-2015,0.7464,3.0,3.25,-0.1185,0.4566,0.13
01-07-2015,0.5019,3.0,3.25,-0.1177,0.4549,0.13
01-08-2015,0.5026,3.0,3.25,-0.1213,0.459,0.14
01-09-2015,0.5002,3.0,3.25,-0.1357,0.4544,0.14
01-10-2015,0.4991,3.13,3.25,-0.1389,0.4622,0.12
01-11-2015,0.4967,3.25,2.9,-0.1347,0.4636,0.12
01-12-2015,0.5242,3.35,2.9,-0.199,0.4575,0.24
01-01-2016,0.5153,3.5,2.9,-0.2387,0.4659,0.34
01-02-2016,0.4991,3.5,2.9,-0.2404,0.4657,0.38
01-03-2016,0.4981,3.5,2.9,-0.2877,0.4646,0.36
01-04-2016,0.5005,3.5,2.9,-0.3378,0.4663,0.37
01-05-2016,0.4974,3.5,2.9,-0.338,0.4633,0.37
01-06-2016,0.5035,3.5,2.9,-0.3325,0.4598,0.38
01-07-2016,0.5078,3.5,2.9,-0.3288,0.4577,0.39
01-08-2016,0.4926,3.5,2.9,-0.3388,0.2478,0.4
01-09-2016,0.4969,3.5,2.9,-0.343,0.213,0.4
01-10-2016,0.4883,3.5,2.9,-0.3466,0.212,0.4
01-11-2016,0.4893,3.5,2.9,-0.3487,0.2108,0.41
01-12-2016,0.4936,3.48,2.9,-0.3504,0.2125,0.54
01-01-2017,0.4885,3.5,2.9,-0.3515,0.2135,0.65
01-02-2017,0.4887,3.2,2.9,-0.3528,0.2106,0.66
01-03-2017,0.5003,3.14,2.9,-0.3535,0.2095,0.79
01-04-2017,0.4953,2.87,2.9,-0.3569,0.2114,0.9
01-05-2017,0.4886,2.65,2.9,-0.3589,0.2126,0.91
01-06-2017,0.4941,2.5,2.9,-0.3587,0.2121,1.04
01-07-2017,0.7414,2.5,2.9,-0.3595,0.2124,1.15
01-08-2017,0.7473,2.5,2.9,-0.3558,0.2132,1.16
01-09-2017,0.9941,2.5,2.9,-0.3581,0.2123,1.15
01-10-2017,0.9955,2.5,2.9,-0.359,0.211,1.15
01-11-2017,0.9916,2.5,2.9,-0.3492,0.4493,1.16
01-12-2017,0.997,2.5,2.9,-0.3423,0.4619,1.3
01-01-2018,1.2461,2.5,2.9,-0.3624,0.4631,1.41
01-02-2018,1.2367,2.49,2.9,-0.3647,0.4634,1.42
01-03-2018,1.2457,2.5,2.9,-0.3639,0.4637,1.51
01-04-2018,1.2461,2.48,2.9,-0.3657,0.4617,1.69
01-05-2018,1.2434,2.5,2.9,-0.3625,0.4529,1.7
01-06-2018,1.2464,2.5,2.9,-0.3618,0.4507,1.82
01-07-2018,1.4948,2.49,2.9,-0.3636,0.4545,1.91
01-08-2018,1.4961,2.5,2.9,-0.3591,0.6911,1.91
01-09-2018,1.4979,2.5,2.9,-0.3627,0.7012,1.95
01-10-2018,1.7476,2.6,2.9,-0.366,0.7011,2.19
01-11-2018,1.7473,2.75,2.9,-0.3613,0.7017,2.2
01-12-2018,1.7516,2.75,2.9,-0.3605,0.7026,2.27
01-01-2019,1.7462,2.76,2.9,-0.367,0.7053,2.4
01-02-2019,1.7455,3.0,2.9,-0.367,0.7061,2.4
01-03-2019,1.7461,3.0,2.9,-0.3679,0.7053,2.41
01-04-2019,1.7459,3.0,2.9,-0.367,0.7081,2.42
01-05-2019,1.745,3.0,2.9,-0.3666,0.7094,2.39
01-06-2019,1.7429,2.62,2.9,-0.3616,0.7085,2.38
01-07-2019,1.7469,2.49,2.9,-0.3668,0.709,2.4
01-08-2019,1.7481,2.5,2.9,-0.3612,0.7101,2.13
01-09-2019,1.7454,2.05,2.9,-0.4032,0.7098,2.04
01-10-2019,1.7472,1.94,2.9,-0.5495978,0.7108,1.83
01-11-2019,1.7487,1.71,2.9,-0.53915,0.7105,1.55
01-12-2019,1.7479,1.71,2.9,-0.540201,0.7101,1.55
01-01-2020,1.7487,1.75,2.9,-0.5374213,0.7113,1.55
01-02-2020,1.7485,1.75,2.9,-0.5382235,0.7104,1.58
01-03-2020,0.7406,1.41,2.9,-0.5356286,0.3192,0.65
01-04-2020,0.2341,0.5,2.9,-0.5354685,0.0659,0.05
01-05-2020,0.2379,0.49,2.9,-0.540192,0.0674,0.05
01-06-2020,0.2327,0.47,2.9,-0.544465,0.0646,0.08
01-07-2020,0.2407,0.5,2.9,-0.5495557,0.0599,0.09
01-08-2020,0.2337,0.35,2.9,-0.5520876,0.0562,0.1
01-09-2020,0.2181,0.3,2.9,-0.5529327,0.0547,0.09
01-10-2020,0.2337,0.3,2.9,-0.5546409,0.0538,0.09
01-11-2020,0.2336,0.3,2.9,-0.5562162,0.0537,0.09
01-12-2020,0.1741,0.3,2.9,-0.5563491,0.0492,0.09
01-01-2021,0.1826,0.3,2.9,-0.5657645,0.0494,0.09
01-02-2021,0.2143,0.3,2.9,-0.563521,0.0486,0.08
01-03-2021,0.1529,0.3,2.9,-0.5637665,0.0486,0.07
01-04-2021,0.1669,0.3,2.9,-0.5660555,0.0486,0.07
01-05-2021,0.1872,0.3,2.9,-0.5647062,0.0495,0.06
01-06-2021,0.1873,0.32,2.9,-0.5641259,0.0498,0.08
01-07-2021,0.193,0.54,2.9,-0.5665223,0.0506,0.1
01-08-2021,0.2026,0.75,2.9,-0.5681,0.0504,0.09
01-09-2021,0.1824,1.5,2.9,-0.5693604,0.05,0.08
01-10-2021,0.2025,2.29,2.9,-0.5704129,0.0502,0.08
01-11-2021,0.2078,2.75,2.9,-0.5732373,0.0468,0.08
01-12-2021,0.1274,3.33,2.9,-0.5763721,0.1141,0.08
01-01-2022,0.175935,4.27,2.9,-0.5794657,0.1958,0.08
01-02-2022,0.1717474,5.5,2.9,-0.576333,0.4199,0.08
01-03-2022,0.4077565,5.5,2.9,-0.5777031,0.5623,0.2
01-04-2022,0.7103333,6.98,2.9,-0.5837074,0.6906,0.33
01-05-2022,0.9472429,8.09,2.9,-0.5847414,0.9158,0.77
01-06-2022,1.428814,8.77,2.9,-0.5826241,1.0767,1.21
01-07-2022,2.037437,9.55,2.9,-0.5710643,1.1908,1.68
01-08-2022,2.482955,9.75,2.9,-0.09465218,1.622,2.33
01-09-2022,3.101768,10.75,2.9,0.2545841,1.8569,2.56
01-10-2022,3.31409,11.17,2.9,0.6553786,2.1857,3.08
01-11-2022,3.741224,11.25,2.9,1.26662,2.8599,3.78
01-12-2022,4.1245,11.25,2.9,1.503965,3.1779,4.1
01-01-2023,4.290014,11.25,2.9,1.901312,3.4275,4.33
01-02-2023,4.492368,11.25,2.9,2.200642,3.9021,4.57
01-03-2023,4.492313,11.25,2.9,2.508364,4.0031,4.65
01-04-2023,4.491718,11.25,2.9,2.899081,4.1774,4.83
01-05-2023,4.492648,11.25,2.9,3.046309,4.3528,5.06
01-06-2023,4.683946,11.25,2.9,3.204591,4.5872,5.08
01-07-2023,4.90389,11.25,2.9,3.403263,4.9302,5.12
01-08-2023,4.994214,10.25,2.9,3.610367,5.1609,5.33
01-09-2023,4.991785,9.55,2.9,3.712522,5.1854,5.33
01-10-2023,5.001845,9.44,2.9,3.90106,5.1871,5.33
01-11-2023,5.013667,9.0,2.9,3.902744,5.1875,5.33
01-12-2023,5.015479,8.98,,3.903442,5.19,5.33
